id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour,Mellow Keys,pop,happy,0.79,120,0.88,0.83,0.21
12,Thunder Roads,Voltline,rock,intense,0.88,148,0.44,0.70,0.08
13,Rainy Window,Paper Lanterns,lofi,chill,0.38,75,0.62,0.55,0.82
14,Neon Pulse,Synth Machine,synthwave,moody,0.80,115,0.52,0.77,0.14
15,Blue Monday Groove,Jazz Cats,jazz,relaxed,0.40,95,0.68,0.57,0.85
16,Summer Pop Anthem,Neon Echo,pop,happy,0.85,126,0.90,0.86,0.12
17,Quiet Mountain,Orbit Bloom,ambient,calm,0.22,55,0.70,0.35,0.95
18,Headbanger Highway,Voltline,rock,intense,0.95,158,0.40,0.65,0.06
19,Cassette Dreams,Synth Machine,synthwave,moody,0.72,108,0.55,0.71,0.25
20,Late Night Sax,Jazz Cats,jazz,relaxed,0.33,88,0.74,0.50,0.91
21,Pixel Beat,LoRoom,lofi,focused,0.44,82,0.61,0.63,0.74
22,Electric Sunday,Indigo Parade,indie pop,happy,0.73,122,0.85,0.80,0.38
23,Deep Space Drift,Orbit Bloom,ambient,calm,0.20,50,0.72,0.30,0.97
24,Velvet Underground,Jazz Cats,jazz,moody,0.45,92,0.58,0.60,0.80
25,Pulse Rising,Max Pulse,pop,intense,0.90,135,0.75,0.90,0.07
26,Analog Sunset,Synth Machine,synthwave,chill,0.60,105,0.65,0.68,0.30
27,Campfire Echoes,Slow Stereo,indie pop,relaxed,0.45,100,0.78,0.58,0.72
28,Wired and Restless,Voltline,rock,moody,0.82,140,0.42,0.68,0.15
29,Lo-fi Sunday,LoRoom,lofi,relaxed,0.32,70,0.64,0.52,0.88
30,Pop Confetti,Neon Echo,pop,happy,0.86,128,0.92,0.87,0.10
